"short id","full name","party","state","state","distinct","canonical URL","url1","url2"
"abercrombie","Abercrombie, Neil","D"," Hawaii","HI",1,"http://house.gov/abercrombie/","gov.house.www/abercrombie",
"ackerman","Ackerman, Gary","D"," New York","NY",5,"http://house.gov/ackerman/","gov.house.www/ackerman",
"aderholt","Aderholt, Robert B.","R"," Alabama","AL",4,"http://house.gov/aderholt/",,
"akin","Akin, Todd","R"," Missouri","MO",2,"http://house.gov/akin/","gov.house.www/akin",
"alexander","Alexander, Rodney","R"," Louisiana","LA",5,"http://www.house.gov/alexander/",,
"tomallen","Allen, Tom","D"," Maine","ME",1,"http://tomallen.house.gov/",,
"andrews","Andrews, Robert E.","D"," New Jersey","NJ",1,"http://house.gov/andrews/","gov.house.www/andrews",
"baca","Baca, Joe","D"," California","CA",43,"http://www.house.gov/baca/","gov.house.www/baca",
"bachus","Bachus, Spencer","R"," Alabama","AL",6,"http://house.gov/bachus/","gov.house.www/bachus",
"baird","Baird, Brian","D"," Washington","WA",3,"http://house.gov/baird/","gov.house.www/baird",
"baker","Baker, Richard","R"," Louisiana","LA",6,"http://house.gov/baker/","gov.house.baker",
"tammybaldwin","Baldwin, Tammy","D"," Wisconsin","WI",2,"http://tammybaldwin.house.gov/","gov.house.tammybaldwin",
"ballance","Ballance, Frank W.","D"," North Carolina","NC",1,"http://www.house.gov/ballance/","gov.house.www/ballance",
"ballenger","Ballenger, Cass","R"," North Carolina","NC",10,"http://ballenger.house.gov/",,
"barrett","Barrett, J. Gresham","R"," South Carolina","SC",3,"http://www.house.gov/barrett/","gov.house.www/barrett",
"bartlett","Bartlett, Roscoe G.","R"," Maryland","MD",6,"http://www.bartlett.house.gov/","gov.house.bartlett.www/24seven","gov.house.bartlett.www/24Seven"
"joebarton","Barton, Joe","R"," Texas","TX",6,"http://joebarton.house.gov/",,
"bass","Bass, Charles F.","R"," New Hampshire","NH",2,"http://house.gov/bass/","gov.house.www/bass",
"beauprez","Beauprez, Bob","R"," Colorado","CO",7,"http://www.house.gov/beauprez/","gov.house.www/beauprez",
"becerra","Becerra, Xavier","D"," California","CA",31,"http://house.gov/becerra/","gov.house.www/becerra",
"bell","Bell, Chris","D"," Texas","TX",25,"http://bell.house.gov/","gov.house.bell",
