"short id","full name","party","state","state","canonical URL","url1","url2",
"akaka","Akaka, Daniel Kahikina","D","Hawaii","HI","http://akaka.senate.gov/","gov.senate.www/~akaka","gov.senate.akaka",
"alexander","Alexander, Lamar","R","Tennessee","TN","http://alexander.senate.gov/","gov.senate.alexander",,
"allard","Allard, Wayne","R","Colorado","CO","http://allard.senate.gov/","gov.senate.www/~allard","gov.senate.allard",
"allen","Allen, George","R","Virginia","VA","http://allen.senate.gov/","gov.senate.www/~allen","gov.senate.allen",
"baucus","Baucus, Max","D","Montana","MT","http://baucus.senate.gov/","gov.senate.baucus","gov.senate.www/~baucus",
"bayh","Bayh, Evan","D","Indiana","IN","http://bayh.senate.gov/index1.html","gov.senate.www/~bayh","gov.senate.bayh",
"bennett","Bennett, Bob","R","Utah","UT","http://bennett.senate.gov/","gov.senate.www/~bennett","gov.senate.bennett",
"biden","Biden, Joseph R.","D","Delaware","DE","http://biden.senate.gov/","gov.senate.www/~biden","gov.senate.biden",
"bingaman","Bingaman, Jeff","D","New Mexico","NM","http://bingaman.senate.gov/","gov.senate.www/~bingaman","gov.senate.bingaman",
"bond","Bond, Christopher S. ""Kit""","R","Missouri","MO","http://bond.senate.gov","gov.senate.bond",,
"boxer","Boxer, Barbara","D","California","CA","http://boxer.senate.gov/","gov.senate.www/~boxer","gov.senate.boxer",
"breaux","Breaux, John","D","Louisiana","LA","http://breaux.senate.gov/","gov.senate.www/~breaux","gov.senate.breaux",
"brownback","Brownback, Sam","R","Kansas","KS","http://brownback.senate.gov/","gov.senate.www/~brownback","gov.senate.brownback",
"bunning","Bunning, Jim","R","Kentucky","KY","http://bunning.senate.gov/","gov.senate.www/~bunning","gov.senate.bunning",
"burns","Burns, Conrad","R","Montana","MT","http://www.senate.gov/~burns/","gov.senate.www/~burns","gov.senate.burns",
"burns","Burns, Max","R","Georgia","GA","http://www.house.gov/burns/","gov.senate.www/~burns","gov.senate.burns","house"
"byrd","Byrd, Robert C.","D","West Virginia","WV","http://byrd.senate.gov/","gov.senate.www/~byrd","gov.senate.byrd",
"campbell","Campbell, Ben Nighthorse","R","Colorado","CO","http://campbell.senate.gov/",,,
"cantwell","Cantwell, Maria","D","Washington","WA","http://cantwell.senate.gov/","gov.senate.cantwell",,
"carper","Carper, Thomas","D","Delaware","DE","http://carper.senate.gov/","gov.senate.carper","gov.senate.www/~carper",
"chafee","Chafee, Lincoln D.","D","Rhode Island","RI","http://chafee.senate.gov/",,,
"chambliss","Chambliss, Saxby","R","Georgia","GA","http://chambliss.senate.gov/",,,
"clinton","Clinton, Hillary Rodham","D","New York","NY","http://clinton.senate.gov/","gov.senate.clinton","gov.senate.www/~clinton",
"cochran","Cochran, Thad","R","Mississippi","MS","http://cochran.senate.gov/","gov.senate.www/~cochran","gov.senate.cochran",
"coleman","Coleman, Norm","R","Minnesota","MN","http://coleman.senate.gov",,,
"collins","Collins, Susan","R","Maine","ME","http://collins.senate.gov/","gov.senate.www/~collins","gov.senate.collins",
"conrad","Conrad, Kent","D","North Dakota","ND","http://conrad.senate.gov/","gov.senate.conrad","gov.senate.www/~conrad",
"cornyn","Cornyn, John","R","Texas","TX","http://cornyn.senate.gov/","gov.senate.www/~cornyn","gov.senate.cornyn",
"corzine","Corzine, Jon S.","D","New Jersey","NJ","http://corzine.senate.gov/","gov.senate.www/~corzine","gov.senate.corzine",
"craig","Craig, Larry","R","Idaho","ID","http://craig.senate.gov/","gov.senate.www/~craig","gov.senate.craig",
"crapo","Crapo, Mike","R","Idaho","ID","http://crapo.senate.gov/","gov.senate.www/~crapo","gov.senate.crapo",
"daschle","Daschle, Tom","D","South Dakota","SD","http://daschle.senate.gov/","gov.senate.daschle",,
"dayton","Dayton, Mark","D","Minnesota","MN","http://dayton.senate.gov/","gov.senate.www/~dayton","gov.senate.dayton/~dayton",
"dewine","DeWine, Mike","R","Ohio","OH","http://dewine.senate.gov/","gov.senate.www/~dewine","gov.senate.dewine",
"dodd","Dodd, Chris","D","Connecticut","CT","http://dodd.senate.gov/","gov.senate.www/~dodd","gov.senate.dodd",
"dole","Dole, Elizabeth H.","R","North Carolina","NC","http://dole.senate.gov/","gov.senate.www/~dole","gov.senate.dole",
"domenici","Domenici, Pete V.","R","New Mexico","NM","http://domenici.senate.gov/","gov.senate.domenici","gov.senate.www/~domenici",
"dorgan","Dorgan, Byron L.","D","North Dakota","ND","http://dorgan.senate.gov/","gov.senate.www/~dorgan","gov.senate.democrats/~dorgan",
"durbin","Durbin, Dick","D","Illinois","IL","http://durbin.senate.gov/","gov.senate.www/~durbin","gov.senate.durbin",
"edwardsjohn","Edwards, John","D","North Carolina","NC","http://edwards.senate.gov/","gov.senate.www/~edwards","gov.senate.edwards",
"ensign","Ensign, John","R","Nevada","NV","http://ensign.senate.gov/","gov.senate.www/~ensign","gov.senate.ensign",
"enzi","Enzi, Mike","R","Wyoming","WY","http://enzi.senate.gov/","gov.senate.enzi",,
"feingold","Feingold, Russ","D","Wisconsin","WI","http://feingold.senate.gov/","gov.senate.www/~feingold","gov.senate.feingold",
"feinstein","Feinstein, Dianne","D","California","CA","http://feinstein.senate.gov/","gov.senate.www/~feinstein","gov.senate.feinstein",
"fitzgerald","Fitzgerald, Peter G.","R","Illinois","IL","http://fitzgerald.senate.gov/","gov.senate.www/~fitzgerald","gov.senate.fitzgerald",
"frist","Frist, Bill","R","Tennessee","TN","http://frist.senate.gov/","gov.senate.frist",,
"graham","Graham, Bob","D","Florida","FL","http://graham.senate.gov/","gov.senate.www/~graham","gov.senate.lgraham",
"grassley","Grassley, Chuck","R","Iowa","IA","http://grassley.senate.gov/","gov.senate.www/~grassley","gov.senate.grassley",
"gregg","Gregg, Judd","R","New Hampshire","NH","http://gregg.senate.gov/","gov.senate.gregg",,
"hagel","Hagel, Chuck","R","Nebraska","NE","http://hagel.senate.gov/","gov.senate.www/~hagel","gov.senate.hagel",
"harkin","Harkin, Tom","D","Iowa","IA","http://harkin.senate.gov/","gov.senate.www/~harkin","gov.senate.harkin",
"hatch","Hatch, Orrin G.","R","Utah","UT","http://hatch.senate.gov/","gov.senate.www/~hatch","gov.senate.hatch",
"hollings","Hollings, Ernest Fritz","D","South Carolina","SC","http://hollings.senate.gov/","gov.senate.www/~hollings","gov.senate.hollings",
"hutchison","Hutchison, Kay Bailey","R","Texas","TX","http://hutchison.senate.gov/","gov.senate.www/~hutchison",,
"inhofe","Inhofe, James M.","R","Oklahoma","OK","http://inhofe.senate.gov/","gov.senate.inhofe","gov.senate.www/~inhofe",
"inouye","Inouye, Daniel K.","D","Hawaii","HI","http://inouye.senate.gov/","gov.senate.inouye","gov.senate.www/~inouye",
"jeffords","Jeffords, Jim","R","Vermont","VT","http://jeffords.senate.gov/",,,
"johnson","Johnson, Tim","D","South Dakota","SD","http://johnson.senate.gov/",,,
"kennedy","Kennedy, Edward","D","Massachusetts","MA","http://kennedy.senate.gov/","gov.senate.kennedy","gov.senate.www/~kennedy",
"kerry","Kerry, John","D","Massachusetts","MA","http://kerry.senate.gov/","gov.senate.kerry","gov.senate.www/~kerry",
"kohl","Kohl, Herb","D","Wisconsin","WI","http://kohl.senate.gov/","gov.senate.www/~kohl","gov.senate.kohl",
"kyl","Kyl, Jon","R","Arizona","AZ","http://kyl.senate.gov/","gov.senate.www/~kyl","gov.senate.kyl",
"landrieu","Landrieu, Mary L.","D","Louisiana","LA","http://landrieu.senate.gov/","gov.senate.landrieu","gov.senate.www/~landrieu",
"lautenberg","Lautenberg, Frank","D","New Jersey","NJ","http://lautenberg.senate.gov/","gov.senate.lautenberg","gov.senate.www/~lautenberg",
"leahy","Leahy, Patrick","D","Vermont","VT","http://leahy.senate.gov/","gov.senate.www/~leahy","gov.senate.leahy",
"levin","Levin, Carl","D","Michigan","MI","http://levin.senate.gov/","gov.senate.www/~levin","gov.house.www/levin",
"levin","Levin, Sander M.","D","Michigan","MI","http://house.gov/levin/","gov.senate.www/~levin","gov.house.www/levin",
"lieberman","Lieberman, Joe","D","Connecticut","CT","http://lieberman.senate.gov/",,,
"lincoln","Lincoln, Blanche","D","Arkansas","AR","http://lincoln.senate.gov/","gov.senate.www/~lincoln","gov.senate.lincoln",
"lott","Lott, Trent","R","Mississippi","MS","http://lott.senate.gov/","gov.senate.lott",,
"lugar","Lugar, Richard G.","R","Indiana","IN","http://lugar.senate.gov/","gov.senate.www/~lugar","gov.senate.lugar",
"mccain","McCain, John","R","Arizona","AZ","http://mccain.senate.gov/","gov.senate.www/~mccain","gov.senate.mccain",
"mcconnell","McConnell, Mitch","R","Kentucky","KY","http://mcconnell.senate.gov/","gov.senate.www/~mcconnell","gov.senate.mcconnell",
"mikulski","Mikulski, Barbara A.","D","Maryland","MD","http://mikulski.senate.gov/","gov.senate.www/~mikulski","gov.senate.mikulski",
"miller","Miller, Zell","D","Georgia","GA","http://miller.senate.gov/","gov.senate.www/~miller","gov.senate.miller",
"murkowski","Murkowski, Lisa","R","Alaska","AK","http://murkowski.senate.gov/","gov.senate.murkowski","gov.senate.www/~murkowski",
